Group,Words
Adjective,11
Adjective,13
Adjective,8
Adjective,6
Adjective,14
Adjective,11
Adjective,13
Adjective,13
Adjective,10
Adjective,11
Counting,9
Counting,8
Counting,6
Counting,8
Counting,10
Counting,4
Counting,6
Counting,5
Counting,7
Counting,7
Imagery,12
Imagery,11
Imagery,16
Imagery,11
Imagery,9
Imagery,23
Imagery,12
Imagery,19
Imagery,19
Imagery,11
Intentional,10
Intentional,19
Intentional,14
Intentional,5
Intentional,10
Intentional,11
Intentional,14
Intentional,15
Intentional,11
Intentional,11
Rhyming,7
Rhyming,9
Rhyming,6
Rhyming,6
Rhyming,6
Rhyming,11
Rhyming,6
Rhyming,3
Rhyming,8
Rhyming,7
